timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708840804636,28,-3,200,,Thread Group 1-12,text,true,,7629,470,1,1,http://103.94.135.204:8080/mod2/application.html,28,0,0
1708840804568,96,,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-12,,true,,13929,1596,1,1,null,73,0,8
1708840804665,16,-7,200,,Thread Group 1-12,text,true,,20651,632,1,1,http://103.94.135.204:8080/mod2/transaction.html,12,0,0
1708840804664,16,,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-12,,true,,20651,632,1,1,null,12,1,0
1708840804683,32,-8,200,,Thread Group 1-12,text,true,,1941,1536,1,1,http://103.94.135.204:8080/mod2/applicationsubmission.html,32,0,0
1708840804682,32,,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-12,,true,,1941,1536,1,1,null,32,2,0
1708840804769,60,-1,200,,Thread Group 1-13,text,true,,3266,715,1,1,http://103.94.135.204:8080/mod2/,14,0,7
1708840804769,14,-1-0,302,,Thread Group 1-13,,true,,153,357,1,1,http://103.94.135.204:8080/mod2,14,0,7
1708840804783,46,-1-1,200,,Thread Group 1-13,text,true,,3113,358,1,1,http://103.94.135.204:8080/mod2/,46,0,0
1708840804829,22,-2,200,,Thread Group 1-13,text,true,,3034,411,1,1,http://103.94.135.204:8080/mod2/,22,0,0
1708840804851,15,-3,200,,Thread Group 1-13,text,true,,7629,470,1,1,http://103.94.135.204:8080/mod2/application.html,15,0,0
1708840804768,97,,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-13,,true,,13929,1596,1,1,null,51,1,7
1708840804866,17,-7,200,,Thread Group 1-13,text,true,,20651,632,1,1,http://103.94.135.204:8080/mod2/transaction.html,14,0,0
1708840804866,17,,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-13,,true,,20651,632,1,1,null,14,0,0
1708840804883,22,-8,200,,Thread Group 1-13,text,true,,1941,1482,1,1,http://103.94.135.204:8080/mod2/applicationsubmission.html,22,0,0
